"mod","aics","bics","lrts"
1,6775.23576146949,6851.17324418875,3.94493876080077e-31
2,6808.77951197705,6857.10336461658,5.66160326588765e-35
3,6572.6022654029,6641.63634060222,9.33987082137481e-13
4,6801.88822948095,6864.01889716034,4.28304042247517e-34
5,6761.23647994196,6802.65692506155,5.19809765886334e-30
6,6584.67873218508,6633.0025848246,7.44429480354867e-14
7,6991.38082310188,7039.7046757414,2.21507202542223e-56
8,6655.02923794018,6724.06331313951,1.5782984595344e-19
9,6781.56974006443,6850.60381526375,7.30783201882646e-32
10,6932.14147479542,7001.17554999474,6.51306859564356e-49
11,6624.22342441784,6679.4506845773,5.44075031270513e-17
12,6663.40349117954,6725.53415885893,2.42778203938524e-20
13,6810.63071777943,6858.95457041896,3.5646355509316e-35
14,6966.12970406554,7007.55014918513,2.59865334575978e-53
15,6636.01304213766,6684.33689477719,4.67941700575015e-18
16,6578.49426460391,6640.6249322833,2.92286938435591e-13
17,6634.81252473846,6703.84659993778,9.15975981092443e-18
18,6443.78648215715,6492.11033479668,6.51752016125788e-05
19,6761.11528047019,6788.72891054992,3.93328894650038e-30
20,6584.76525573638,6619.28229333604,5.570616653654e-14
21,6581.98176622858,6644.11243390797,1.58064931808468e-13
22,6983.30478837486,7031.62864101439,2.25574750830556e-55
23,6674.97906141068,6730.20632157013,1.8536513759005e-21
24,6776.62643762758,6838.75710530698,2.07249544026732e-31
25,6920.76042987598,6975.98769003544,1.11198220759634e-47
26,6654.48916052064,6709.7164206801,1.31358169569052e-19
27,6694.35962552024,6749.5868856797,2.90019005299086e-23
28,6807.75757069514,6862.9848308546,8.52631855773544e-35
29,6963.05702488166,6990.67065496139,4.59808784339541e-53
30,6672.45003915343,6720.77389179295,2.72341661393513e-21
31,6573.98499504254,6615.40544016213,4.28274545837556e-13
32,6662.819992343,6711.14384498253,2.03851535645037e-20
33,6482.78281992552,6517.29985752518,4.71485409580488e-07
34,6760.99933755408,6809.32319019361,6.41316657089423e-30
35,6585.50211416164,6633.82596680117,6.42613556205797e-14
36,6611.01107435666,6645.52811195632,4.44811757064777e-16
37,6717.71019351722,6779.84086119661,1.92652393103907e-25
38,6838.82687228929,6894.05413244874,3.2654666108915e-38
39,7039.3070761887,7073.82411378836,1.37047584751454e-62
40,6672.88436993492,6728.11163009438,2.88405205864216e-21
41,6579.96462666556,6628.28847930509,1.71873720362761e-13
42,6682.39121217763,6737.61847233709,3.83436861751663e-22
43,6480.97083639875,6529.29468903827,7.46825171731286e-07
44,6785.25318469204,6833.57703733157,1.8783488372106e-32
45,6578.78215964332,6634.00941980278,2.42557512775213e-13
46,6611.85147324715,6667.07873340661,5.8030697180313e-16
47,6591.01289718039,6639.33674981992,2.38446585214328e-14
48,6696.89511223507,6745.2189648746,1.43510570020564e-23
49,6483.32851755242,6524.74896267202,4.90561604799183e-07
50,6820.33745322504,6861.75789834463,2.66337078400331e-36
51,6591.4418933353,6639.76574597483,2.20623267428934e-14
52,6625.92878387629,6674.25263651582,3.38569660577615e-17
53,6561.86988348008,6596.38692107974,3.0023087204961e-12
54,6424.23448739489,6458.75152499455,0.00041688496379507
55,6444.09201271688,6485.51245783648,5.72105903433291e-05
56,6537.9440111028,6579.36445622239,1.73097863895969e-10
57,6790.6703303069,6852.80099798629,6.80469457152899e-33
58,6568.64787886578,6616.9717315053,1.23390784045534e-12
59,6785.63758002014,6847.76824769953,2.32850242844349e-32
60,6732.68429730294,6787.9115574624,5.52482034256694e-27
61,6585.10736935546,6640.33462951492,7.90987890847748e-14
62,6582.32549129036,6630.64934392989,1.13165891281045e-13
63,6811.77030734961,6866.99756750906,3.12756637599379e-35
64,6767.3128669314,6815.63671957093,1.42630021075195e-30
65,6601.13765562651,6649.46150826603,3.73803206815543e-15
66,6585.98881851976,6634.31267115929,5.89030460292949e-14
67,6547.36449349123,6581.88153109089,3.34590409727052e-11
68,6443.59003196429,6485.01047708388,6.04634010254857e-05
69,6762.66333218618,6810.98718482571,4.31977143245689e-30
70,6596.79512138128,6652.02238154073,9.55913348854027e-15
71,6537.078759251,6578.49920437059,1.98520536519029e-10
72,6744.64824702941,6799.87550718887,3.48584480080857e-28
73,6787.66293224429,6842.89019240375,1.21731920509131e-32
74,7060.41623533548,7094.93327293514,2.54785381200954e-65
75,6711.07719851938,6759.4010511589,6.27489652698753e-25
76,6570.85403425354,6619.17788689307,8.43759017438411e-13
77,6686.12980591373,6741.35706607319,1.72021290081787e-22
78,6500.74747894158,6549.07133158111,5.12507846301728e-08
79,6731.84163943215,6780.16549207167,5.75210016292396e-27
80,6581.99574816516,6644.12641584455,1.57674260321435e-13
81,6621.91686073246,6677.14412089192,8.49577592137456e-17
82,6582.06222214179,6630.38607478132,1.18577894259737e-13
83,6691.48647451228,6739.81032715181,4.65708530995047e-23
84,6504.83840600533,6553.16225864486,2.87228662575752e-08
85,6760.17825745951,6801.5987025791,6.68117224973042e-30
86,6598.66968814467,6660.80035582406,7.79096542281753e-15
87,6632.64765255735,6680.97150519687,9.09491072573741e-18
88,6547.20227045307,6581.71930805273,3.43555854456751e-11
89,6441.11303702124,6489.43688966076,8.72093205789846e-05
90,6442.86721444648,6491.19106708601,7.20737181361868e-05
91,6533.65089799895,6575.07134311855,3.4050264661102e-10
92,6676.39397032307,6731.62123048253,1.37403702788245e-21
93,6786.06608627252,6841.29334643198,1.79762486436883e-32
94,6934.08687483891,6968.60391243858,1.78322140461974e-49
95,6653.94725221887,6716.07791989826,1.69967909924584e-19
96,6567.7977200724,6616.12157271193,1.42775392313526e-12
97,6642.69847058534,6691.02232322487,1.23491774076133e-18
98,6480.27141078159,6521.69185590118,7.3242474821454e-07
99,6730.38823576709,6778.71208840662,8.02155511574163e-27
100,6582.57939836342,6637.80665852287,1.24028015459003e-13
101,6589.9531523427,6645.18041250216,3.31556849336707e-14
102,6580.47942537021,6628.80327800974,1.56934486050272e-13
103,6662.46864809192,6703.88909321152,1.89119042737603e-20
104,6488.60923290675,6530.02967802635,2.42671834147371e-07
105,6760.84555282133,6802.26599794092,5.70334391537013e-30
106,6598.40089160459,6646.72474424411,6.1930010602668e-15
107,6609.10716828138,6657.4310209209,8.45197050483255e-16
108,6545.74803252954,6580.2650701292,4.35228544941684e-11
109,6443.95538615275,6485.37583127235,5.80790218465634e-05
110,6443.25510167692,6484.67554679652,6.27308707075189e-05
111,6534.22042164999,6575.64086676959,3.11424029797578e-10
112,6646.9913249168,6709.1219925962,6.97398593315975e-19
