"","formulas_with","formulas_without","pvals"
"1873","response~(furniture+employment+real_estate)^3","response~furniture+employment+real_estate",0.999980725920789
"3689","response~(male_mar_or_wid+num_credits+telephone)^3","response~male_mar_or_wid+num_credits+telephone",0.999962417034446
"3513","response~(male_single+male_mar_or_wid+telephone)^3","response~male_single+male_mar_or_wid+telephone",0.999288231828979
"550","response~(duration+education+job)^3","response~duration+education+job",0.999202075430828
"2786","response~(amount+male_div+male_mar_or_wid)^3","response~amount+male_div+male_mar_or_wid",0.998948072311313
"1777","response~(furniture+radio.tv+rent)^3","response~furniture+radio.tv+rent",0.998679299351243
"1935","response~(furniture+male_mar_or_wid+real_estate)^3","response~furniture+male_mar_or_wid+real_estate",0.998405205763471
"3352","response~(install_rate+age+foreign)^3","response~install_rate+age+foreign",0.99816093363898
"1721","response~(used_car+prop_unkn_none+job)^3","response~used_car+prop_unkn_none+job",0.996282098720305
"1474","response~(used_car+furniture+real_estate)^3","response~used_car+furniture+real_estate",0.994962868217348
"3901","response~(real_estate+prop_unkn_none+job)^3","response~real_estate+prop_unkn_none+job",0.994491952841465
"281","response~(chk_acct+male_div+own_res)^3","response~chk_acct+male_div+own_res",0.993866907633201
"1885","response~(furniture+install_rate+male_single)^3","response~furniture+install_rate+male_single",0.992405379416941
"1889","response~(furniture+install_rate+present_resident)^3","response~furniture+install_rate+present_resident",0.990794447455978
"1178","response~(new_car+furniture+rent)^3","response~new_car+furniture+rent",0.990519390618913
"105","response~(chk_acct+used_car+telephone)^3","response~chk_acct+used_car+telephone",0.990433366329284
"528","response~(duration+radio.tv+job)^3","response~duration+radio.tv+job",0.990241559647558
"3617","response~(male_mar_or_wid+co.applicant+telephone)^3","response~male_mar_or_wid+co.applicant+telephone",0.989988649755104
"3156","response~(employment+co.applicant+real_estate)^3","response~employment+co.applicant+real_estate",0.98949744048194
"283","response~(chk_acct+male_div+job)^3","response~chk_acct+male_div+job",0.989348294820455
"1867","response~(furniture+employment+male_div)^3","response~furniture+employment+male_div",0.988844999387875
"1706","response~(used_car+real_estate+prop_unkn_none)^3","response~used_car+real_estate+prop_unkn_none",0.988542076293183
"2825","response~(amount+male_mar_or_wid+num_credits)^3","response~amount+male_mar_or_wid+num_credits",0.988325797987536
"1861","response~(furniture+sav_acct+num_credits)^3","response~furniture+sav_acct+num_credits",0.987875388398767
"1201","response~(new_car+radio.tv+rent)^3","response~new_car+radio.tv+rent",0.987872089337603
"1504","response~(used_car+radio.tv+job)^3","response~used_car+radio.tv+job",0.986555429775487
"3659","response~(male_mar_or_wid+prop_unkn_none+telephone)^3","response~male_mar_or_wid+prop_unkn_none+telephone",0.98646373546508
"2606","response~(retraining+male_div+num_credits)^3","response~retraining+male_div+num_credits",0.985909083145984
"103","response~(chk_acct+used_car+job)^3","response~chk_acct+used_car+job",0.985561805712405
"514","response~(duration+radio.tv+install_rate)^3","response~duration+radio.tv+install_rate",0.985424112446537
"517","response~(duration+radio.tv+male_mar_or_wid)^3","response~duration+radio.tv+male_mar_or_wid",0.985381862232054
"1501","response~(used_car+radio.tv+rent)^3","response~used_car+radio.tv+rent",0.982932724970188
"3737","response~(co.applicant+prop_unkn_none+telephone)^3","response~co.applicant+prop_unkn_none+telephone",0.982622271850355
"904","response~(history+education+foreign)^3","response~history+education+foreign",0.98257252849159
"1540","response~(used_car+retraining+real_estate)^3","response~used_car+retraining+real_estate",0.982398882195673
"3877","response~(present_resident+rent+job)^3","response~present_resident+rent+job",0.982344521583602
"3868","response~(present_resident+other_install+rent)^3","response~present_resident+other_install+rent",0.982110175194152
"2284","response~(radio.tv+job+num_dependents)^3","response~radio.tv+job+num_dependents",0.982099816965657
"876","response~(history+radio.tv+rent)^3","response~history+radio.tv+rent",0.981909150961728
"2228","response~(radio.tv+present_resident+rent)^3","response~radio.tv+present_resident+rent",0.979976818784551
"1869","response~(furniture+employment+male_mar_or_wid)^3","response~furniture+employment+male_mar_or_wid",0.979783924757641
"2055","response~(radio.tv+education+job)^3","response~radio.tv+education+job",0.979055366392406
"2462","response~(education+present_resident+job)^3","response~education+present_resident+job",0.978753944108532
"2594","response~(retraining+install_rate+foreign)^3","response~retraining+install_rate+foreign",0.978284450628212
"1466","response~(used_car+furniture+employment)^3","response~used_car+furniture+employment",0.978107254358481
"2178","response~(radio.tv+male_single+rent)^3","response~radio.tv+male_single+rent",0.977871078787585
"1659","response~(used_car+male_mar_or_wid+real_estate)^3","response~used_car+male_mar_or_wid+real_estate",0.97769927356538
"454","response~(duration+new_car+own_res)^3","response~duration+new_car+own_res",0.976457117732368
"3609","response~(male_mar_or_wid+co.applicant+prop_unkn_none)^3","response~male_mar_or_wid+co.applicant+prop_unkn_none",0.976381626935817
"2412","response~(education+male_single+job)^3","response~education+male_single+job",0.975683768734192
"2810","response~(amount+male_single+own_res)^3","response~amount+male_single+own_res",0.975109117120925
"1672","response~(used_car+co.applicant+real_estate)^3","response~used_car+co.applicant+real_estate",0.974396440714545
"745","response~(duration+prop_unkn_none+job)^3","response~duration+prop_unkn_none+job",0.973743841836735
"1170","response~(new_car+furniture+male_mar_or_wid)^3","response~new_car+furniture+male_mar_or_wid",0.973702930185545
"853","response~(history+furniture+rent)^3","response~history+furniture+rent",0.972803750172556
"1779","response~(furniture+radio.tv+num_credits)^3","response~furniture+radio.tv+num_credits",0.97240651195431
"632","response~(duration+install_rate+male_div)^3","response~duration+install_rate+male_div",0.972368135775907
"1607","response~(used_car+employment+foreign)^3","response~used_car+employment+foreign",0.972058876081887
"3294","response~(install_rate+co.applicant+age)^3","response~install_rate+co.applicant+age",0.97141705298773
"3405","response~(male_div+male_mar_or_wid+num_credits)^3","response~male_div+male_mar_or_wid+num_credits",0.971067701620068
"443","response~(duration+new_car+male_div)^3","response~duration+new_car+male_div",0.970598095037621
"1336","response~(new_car+male_div+num_credits)^3","response~new_car+male_div+num_credits",0.970357884563913
"445","response~(duration+new_car+male_mar_or_wid)^3","response~duration+new_car+male_mar_or_wid",0.96969786260096
"3725","response~(co.applicant+real_estate+num_credits)^3","response~co.applicant+real_estate+num_credits",0.969447611845498
"1975","response~(furniture+present_resident+rent)^3","response~furniture+present_resident+rent",0.968599598184989
