"","formulas_with","formulas_without","pvals"
"385","response~(chk_acct+other_install+foreign)^3","response~chk_acct+other_install+foreign",0.0099903153509172
"1562","response~(used_car+amount+age)^3","response~used_car+amount+age",0.00993062809272771
"1564","response~(used_car+amount+rent)^3","response~used_car+amount+rent",0.00988156804031743
"3366","response~(install_rate+own_res+num_credits)^3","response~install_rate+own_res+num_credits",0.00986538448111466
"568","response~(duration+retraining+rent)^3","response~duration+retraining+rent",0.00982430157989576
"2423","response~(education+male_mar_or_wid+rent)^3","response~education+male_mar_or_wid+rent",0.00973526524654854
"2081","response~(radio.tv+amount+employment)^3","response~radio.tv+amount+employment",0.00947728218049296
"2487","response~(education+age+own_res)^3","response~education+age+own_res",0.00942263150270505
"974","response~(history+employment+age)^3","response~history+employment+age",0.00924752544572494
"1305","response~(new_car+employment+num_dependents)^3","response~new_car+employment+num_dependents",0.0091799996131771
"1837","response~(furniture+amount+prop_unkn_none)^3","response~furniture+amount+prop_unkn_none",0.0089231170197342
"4026","response~(rent+own_res+num_credits)^3","response~rent+own_res+num_credits",0.00885927277242613
"2700","response~(retraining+age+num_dependents)^3","response~retraining+age+num_dependents",0.00878984441130027
"1312","response~(new_car+install_rate+guarantor)^3","response~new_car+install_rate+guarantor",0.0084934328240949
"1392","response~(new_car+guarantor+num_dependents)^3","response~new_car+guarantor+num_dependents",0.00848341763638775
"1114","response~(history+other_install+foreign)^3","response~history+other_install+foreign",0.00844318279947137
"2644","response~(retraining+co.applicant+age)^3","response~retraining+co.applicant+age",0.00832317154997123
"1647","response~(used_car+male_single+age)^3","response~used_car+male_single+age",0.00831913188980723
"718","response~(duration+guarantor+foreign)^3","response~duration+guarantor+foreign",0.00817848716348414
"2479","response~(education+prop_unkn_none+own_res)^3","response~education+prop_unkn_none+own_res",0.00811967197779438
"188","response~(chk_acct+retraining+age)^3","response~chk_acct+retraining+age",0.00798483463244834
"2706","response~(retraining+other_install+job)^3","response~retraining+other_install+job",0.00798317096626915
