"","formula","aics","bics","acc"
"292",292,793.473548625058,845.004277629406,0.715
"610",610,795.174074281959,846.704803286306,0.7725
"455",455,799.394618316069,850.925347320416,0.7675
"84",84,800.849162638236,852.379891642583,0.7375
"398",398,801.450642101428,848.296759378108,0.73125
"213",213,802.253209777762,853.783938782109,0.74
"123",123,802.656140829235,854.186869833583,0.72375
"504",504,805.518409722332,857.049138726679,0.7425
"899",899,808.735661170729,860.266390175077,0.68
"376",376,808.796799628301,855.64291690498,0.75625
"636",636,809.041395174494,860.572124178841,0.755
"397",397,811.581355503267,858.427472779946,0.705
"814",814,814.146996915222,865.677725919569,0.7175
"265",265,815.355720446635,866.886449450982,0.73
"794",794,817.410776726435,868.941505730782,0.69375
"305",305,817.949405123093,864.795522399772,0.6625
"810",810,818.089191856149,869.619920860497,0.67375
"652",652,820.335874592856,867.181991869536,0.69375
"184",184,820.830207512601,867.67632478928,0.73375
"762",762,821.400230737067,868.246348013746,0.69125
"539",539,821.529506893845,873.060235898193,0.73375
"402",402,821.702755650583,873.23348465493,0.6925
"667",667,822.327347318109,869.173464594788,0.67375
"596",596,823.156733132176,870.002850408855,0.72875
"61",61,823.366020554293,874.896749558641,0.69875
"408",408,825.025748622145,876.556477626493,0.7325
"729",729,826.243552291174,873.089669567853,0.6925
"179",179,827.26445315785,878.795182162197,0.7275
"134",134,828.353402281694,875.199519558373,0.6875
"437",437,829.010719844728,875.856837121408,0.75
"546",546,831.151436145651,877.997553422331,0.7225
"563",563,831.397056498746,882.927785503093,0.73375
"93",93,831.514135661752,878.360252938431,0.71125
"494",494,831.723226009603,883.25395501395,0.73
"320",320,831.758448806363,883.28917781071,0.7
"409",409,832.568504289871,884.099233294218,0.62875
"894",894,832.708688117786,874.870193666797,0.73
"827",827,832.936920364021,879.783037640701,0.6975
"1",1,833.153715052622,884.684444056969,0.665
"289",289,833.167749602275,884.698478606622,0.68125
"566",566,833.2094161056,884.740145109947,0.645
"338",338,833.281132205054,880.127249481734,0.67625
"502",502,834.002823843636,885.533552847983,0.73625
"645",645,834.413310485383,885.944039489731,0.72
"683",683,835.516191497174,887.046920501522,0.68625
"715",715,835.681927682725,887.212656687072,0.6725
"336",336,835.927653186514,887.458382190861,0.73625
"801",801,836.726071205588,888.256800209936,0.70125
"775",775,837.360223738123,888.89095274247,0.7175
"222",222,837.933502229835,889.464231234182,0.725
"85",85,838.089020748213,889.619749752561,0.69625
"50",50,838.453392619235,885.299509895914,0.6975
"8",8,838.596382539939,890.127111544286,0.6975
"86",86,839.66995275905,886.516070035729,0.6825
"586",586,839.756150313042,881.917655862054,0.69625
"996",996,840.03100868826,886.877125964939,0.69625
"92",92,840.281902165593,882.443407714605,0.74375
"197",197,840.435137179891,891.965866184238,0.665
"118",118,840.518974839772,887.365092116451,0.6925
"793",793,841.227221891685,888.073339168365,0.695
"584",584,841.366976011748,892.897705016096,0.7225
"447",447,841.429266790523,892.95999579487,0.72
"168",168,841.726298221222,883.887803770233,0.67625
"211",211,841.939024530144,893.469753534491,0.70875
"637",637,842.046416208237,888.892533484916,0.71375
"139",139,842.158133795742,889.004251072421,0.68
"3",3,842.204599571067,893.735328575414,0.6625
"35",35,842.478961535461,889.32507881214,0.69125
"690",690,842.914864618767,889.760981895446,0.6675
"358",358,842.967932583011,889.81404985969,0.66625
