"","formula","aics","bics","acc"
"5",5,813.832173328483,860.678290605163,0.75375
"367",367,807.221939420848,858.752668425195,0.75
"747",747,815.534278232911,862.38039550959,0.74875
"469",469,817.55559550558,869.086324509927,0.745
"576",576,801.148875457309,852.679604461656,0.74375
"905",905,806.600191190912,853.446308467591,0.74375
"151",151,825.809807913976,877.340536918323,0.74375
"558",558,831.327852325478,882.858581329825,0.7425
"392",392,827.741255824037,879.271984828385,0.74
"354",354,849.006060311465,895.852177588144,0.74
"198",198,821.757069902534,863.918575451545,0.73875
"623",623,847.678547463744,894.524664740423,0.7375
"554",554,810.550228641493,862.08095764584,0.73625
"226",226,831.136358810142,877.982476086821,0.73625
"134",134,843.193474467326,890.039591744005,0.73625
"818",818,885.695370814538,932.541488091218,0.735
"480",480,840.229808866424,887.075926143103,0.73125
"859",859,827.080017701117,878.610746705464,0.73
"951",951,830.284479745031,881.815208749378,0.73
"908",908,860.966078460466,912.496807464813,0.73
"932",932,835.004335748833,881.850453025513,0.72875
"918",918,811.878603561261,858.72472083794,0.7275
"571",571,830.443715573671,881.974444578019,0.7275
"921",921,876.298844240979,927.829573245327,0.7275
"189",189,830.00676766426,881.537496668607,0.72625
"22",22,850.706890276465,897.553007553144,0.72625
"891",891,894.037365537497,936.198871086508,0.725
"368",368,900.829805572863,947.675922849542,0.725
"218",218,831.167139861466,878.013257138146,0.72375
"771",771,833.76228993898,885.293018943327,0.72375
"430",430,837.35753196641,879.519037515421,0.72375
"870",870,837.786434874872,889.317163879219,0.72375
"821",821,845.419257028591,896.949986032938,0.72375
"798",798,849.336181167239,896.182298443919,0.72375
"255",255,817.785642946238,869.316371950585,0.7225
"145",145,826.592783186497,873.438900463176,0.7225
"391",391,828.106123116438,874.952240393117,0.7225
"826",826,847.043195932246,893.889313208925,0.7225
"422",422,864.841758682487,911.687875959167,0.7225
"655",655,893.724881865961,945.255610870308,0.7225
"955",955,825.463292198992,876.99402120334,0.72125
"494",494,830.378712204764,881.909441209111,0.72125
"742",742,831.22169453013,878.06781180681,0.72125
"610",610,833.55914883175,880.405266108429,0.72125
"238",238,848.613662390313,895.459779666993,0.72125
"195",195,858.884717224016,910.415446228364,0.72125
"66",66,894.288713536807,936.450219085818,0.72125
"49",49,916.190165261545,963.036282538224,0.72125
"94",94,851.225341691681,893.386847240693,0.72
"831",831,869.168504623596,920.699233627943,0.72
"291",291,870.173021158395,921.703750162742,0.72
"535",535,835.269749843014,886.800478847362,0.71875
"943",943,841.453625714412,892.984354718759,0.71875
"751",751,888.856979155312,935.703096431991,0.71875
"521",521,899.880060653563,946.726177930242,0.71875
"819",819,904.915221870746,947.076727419758,0.71875
"754",754,847.982136559859,894.828253836538,0.7175
"266",266,855.622210234478,907.152939238825,0.7175
"220",220,870.660175069965,917.506292346645,0.7175
"256",256,896.228658955498,938.390164504509,0.7175
"32",32,821.982221682375,868.828338959054,0.71625
"349",349,824.643309120794,876.174038125141,0.71625
"603",603,834.556830723715,886.087559728062,0.71625
"360",360,839.524044460556,886.370161737235,0.71625
"586",586,850.044103119196,901.574832123543,0.71625
"612",612,852.917922347245,899.764039623924,0.71625
"759",759,861.882634256205,913.413363260552,0.71625
"335",335,859.590586743312,911.121315747659,0.715
"624",624,926.42883892809,977.959567932437,0.715
"777",777,905.788482648968,957.319211653315,0.71375
"867",867,811.880520766135,863.411249770482,0.7125
"875",875,838.951986633432,885.798103910111,0.7125
"362",362,848.28534400449,890.446849553501,0.7125
"217",217,855.356565254917,906.887294259264,0.7125
"856",856,877.535848801097,924.381966077776,0.71125
"157",157,859.989509897609,906.835627174288,0.71
"767",767,837.248035102432,888.778764106779,0.70875
"836",836,840.565515432764,887.411632709443,0.70875
"316",316,844.317129930393,891.163247207072,0.70875
"753",753,884.592173552149,931.438290828828,0.70875
"63",63,889.753357795154,936.599475071833,0.70875
"884",884,893.829703474594,945.360432478941,0.70875
"124",124,801.915980910952,853.446709915299,0.7075
"876",876,889.184082879896,936.030200156575,0.7075
"809",809,842.42127184476,893.952000849107,0.70625
"812",812,853.635381998961,905.166111003309,0.70625
"673",673,886.497506469117,938.028235473464,0.70625
"61",61,894.412680181288,941.258797457967,0.70625
"105",105,812.784935532548,864.315664536895,0.705
"154",154,844.436785775913,891.282903052592,0.705
"584",584,900.110202678172,951.640931682519,0.705
"95",95,850.907076780926,897.753194057605,0.70375
"923",923,851.513096575927,903.043825580275,0.70375
"437",437,886.217696277771,937.748425282118,0.70375
"827",827,890.114794000117,941.645523004464,0.70375
"56",56,895.414012435528,942.260129712207,0.70375
"169",169,831.676763584431,883.207492588778,0.7025
"567",567,833.98873129458,880.834848571259,0.7025
"665",665,863.23812850543,914.768857509777,0.7025
"832",832,892.763961135366,944.294690139713,0.7025
"100",100,906.497733843484,958.028462847832,0.7025
"274",274,913.355004239214,964.885733243561,0.7025
"656",656,843.058654752507,889.904772029186,0.70125
"214",214,872.618909358326,924.149638362673,0.70125
"65",65,892.801336534962,939.647453811641,0.70125
"715",715,904.988197292075,951.834314568754,0.70125
"389",389,907.472900716645,959.003629720992,0.70125
"544",544,912.148018506184,958.994135782863,0.70125
"488",488,882.794453867995,929.640571144675,0.7
"241",241,902.586025792763,954.116754797111,0.7
"91",91,915.390725730913,957.552231279925,0.7
"974",974,840.261040539262,891.791769543609,0.69875
"329",329,841.016743508365,892.547472512712,0.69875
"8",8,842.802868909397,884.964374458408,0.69875
"71",71,849.888399963622,901.419128967969,0.69875
