"","formula","accuracy","cutoff","roc_auc","sensitivity","specificity","hoslem"
"1","response~(chk_acct+duration)^2",0.726666666666667,0.634723091065962,0.739548104956268,0.746938775510204,0.638095238095238,0
"2","response~(chk_acct+history)^2",0.693333333333333,0.61137936674739,0.736039844509232,0.730612244897959,0.657142857142857,0
"3","response~(chk_acct+new_car)^2",0.643333333333333,0.669675670751403,0.709081632653061,0.56734693877551,0.79047619047619,0
"4","response~(chk_acct+used_car)^2",0.656666666666667,0.632432730291061,0.710165208940719,0.610204081632653,0.752380952380952,0
"5","response~(chk_acct+furniture)^2",0.643333333333333,0.646325717726804,0.702560738581147,0.56734693877551,0.79047619047619,0
"6","response~(chk_acct+radio.tv)^2",0.666666666666667,0.622272425163597,0.710840621963071,0.642857142857143,0.728571428571429,0
"7","response~(chk_acct+education)^2",0.643333333333333,0.654285809734642,0.703168124392614,0.56734693877551,0.79047619047619,0
"8","response~(chk_acct+retraining)^2",0.643333333333333,0.689978557306813,0.703935860058309,0.563265306122449,0.795238095238095,0
"9","response~(chk_acct+amount)^2",0.626666666666667,0.726142481848421,0.729640427599611,0.563265306122449,0.814285714285714,0
"10","response~(chk_acct+sav_acct)^2",0.676666666666667,0.663601091717908,0.72324101068999,0.673469387755102,0.728571428571429,0
"11","response~(chk_acct+employment)^2",0.663333333333333,0.635605856456664,0.71745869776482,0.671428571428571,0.680952380952381,0
"12","response~(chk_acct+install_rate)^2",0.643333333333333,0.717127031483101,0.711433430515063,0.56734693877551,0.79047619047619,0
"13","response~(chk_acct+male_div)^2",0.643333333333333,0.647471554399219,0.698906705539359,0.56734693877551,0.79047619047619,0
"14","response~(chk_acct+male_single)^2",0.643333333333333,0.669679663668038,0.708177842565598,0.56734693877551,0.79047619047619,0
"15","response~(chk_acct+male_mar_or_wid)^2",0.646666666666667,0.642647091586657,0.703459669582119,0.597959183673469,0.761904761904762,0
"16","response~(chk_acct+co.applicant)^2",0.636666666666667,0.65562831208432,0.708678328474247,0.551020408163265,0.804761904761905,0
"17","response~(chk_acct+guarantor)^2",0.676666666666667,0.63405491878899,0.708279883381924,0.608163265306122,0.766666666666667,0
"18","response~(chk_acct+present_resident)^2",0.653333333333333,0.649848665699275,0.70544703595724,0.614285714285714,0.747619047619048,0
"19","response~(chk_acct+real_estate)^2",0.703333333333333,0.666124914125185,0.719484936831876,0.640816326530612,0.738095238095238,0
"20","response~(chk_acct+prop_unkn_none)^2",0.64,0.687292342344217,0.727925170068027,0.557142857142857,0.804761904761905,0
"21","response~(chk_acct+age)^2",0.646666666666667,0.715807626391505,0.713182701652089,0.577551020408163,0.780952380952381,0
"22","response~(chk_acct+other_install)^2",0.606666666666667,0.679648582786748,0.716768707482993,0.491836734693878,0.866666666666667,0
"23","response~(chk_acct+rent)^2",0.643333333333333,0.653455773721214,0.704018464528669,0.56734693877551,0.79047619047619,0
"24","response~(chk_acct+own_res)^2",0.643333333333333,0.672081190161565,0.709392614188533,0.56734693877551,0.79047619047619,0
"25","response~(chk_acct+num_credits)^2",0.643333333333333,0.675193454037323,0.710398445092323,0.579591836734694,0.780952380952381,0
"26","response~(chk_acct+job)^2",0.65,0.682897316770925,0.706622934888241,0.573469387755102,0.79047619047619,0
"27","response~(chk_acct+num_dependents)^2",0.643333333333333,0.745605570441314,0.702351797862002,0.559183673469388,0.804761904761905,0
"28","response~(chk_acct+telephone)^2",0.643333333333333,0.647084983381792,0.703158406219631,0.56734693877551,0.79047619047619,0
"29","response~(chk_acct+foreign)^2",0.656666666666667,0.635671910138219,0.708678328474247,0.587755102040816,0.780952380952381,0
"30","response~(duration+history)^2",0.673333333333333,0.703335139125411,0.681064139941691,0.628571428571429,0.628571428571429,0
"31","response~(duration+new_car)^2",0.676666666666667,0.680040710570105,0.652881438289602,0.708163265306123,0.538095238095238,0
"32","response~(duration+used_car)^2",0.6,0.716513171547515,0.66033527696793,0.573469387755102,0.676190476190476,0
"33","response~(duration+furniture)^2",0.553333333333333,0.737951920143315,0.635160349854227,0.483673469387755,0.714285714285714,0
"34","response~(duration+radio.tv)^2",0.61,0.705040994457872,0.644752186588921,0.597959183673469,0.647619047619048,0
"35","response~(duration+education)^2",0.553333333333333,0.737372081309298,0.635145772594752,0.457142857142857,0.738095238095238,0
"36","response~(duration+retraining)^2",0.57,0.726318411267199,0.632327502429543,0.520408163265306,0.676190476190476,0
"37","response~(duration+amount)^2",0.653333333333333,0.671561648533545,0.629757045675413,0.751020408163265,0.438095238095238,0
"38","response~(duration+sav_acct)^2",0.673333333333333,0.675458429653354,0.68877065111759,0.702040816326531,0.614285714285714,0
"39","response~(duration+employment)^2",0.61,0.716087572897751,0.660991253644315,0.6,0.661904761904762,0
"40","response~(duration+install_rate)^2",0.473333333333333,0.756807774735517,0.634727891156463,0.371428571428571,0.828571428571429,NA
"41","response~(duration+male_div)^2",0.553333333333333,0.731511194226427,0.631598639455782,0.483673469387755,0.714285714285714,0
"42","response~(duration+male_single)^2",0.646666666666667,0.695699795711531,0.638654033041788,0.669387755102041,0.547619047619048,0
"43","response~(duration+male_mar_or_wid)^2",0.556666666666667,0.729885629903376,0.630821185617104,0.504081632653061,0.695238095238095,0
"44","response~(duration+co.applicant)^2",0.54,0.738651188335769,0.63907677356657,0.469387755102041,0.728571428571429,0
"45","response~(duration+guarantor)^2",0.566666666666667,0.724546197334863,0.634261418853256,0.495918367346939,0.704761904761905,0
"46","response~(duration+present_resident)^2",0.553333333333333,0.732767351534777,0.635131195335277,0.483673469387755,0.714285714285714,0
"47","response~(duration+real_estate)^2",0.586666666666667,0.703080068994293,0.630563654033042,0.559183673469388,0.614285714285714,0
"48","response~(duration+prop_unkn_none)^2",0.526666666666667,0.756858437930868,0.657186588921283,0.438775510204082,0.776190476190476,0
"49","response~(duration+age)^2",0.63,0.697267898744457,0.640310981535471,0.651020408163265,0.552380952380952,0
"50","response~(duration+other_install)^2",0.63,0.684425372942912,0.652074829931973,0.695918367346939,0.533333333333333,0
"51","response~(duration+rent)^2",0.676666666666667,0.675056620254109,0.636516034985423,0.791836734693877,0.404761904761905,0
"52","response~(duration+own_res)^2",0.67,0.671083033232101,0.642560738581147,0.744897959183674,0.466666666666667,0
"53","response~(duration+num_credits)^2",0.62,0.669591643235656,0.628036929057337,0.724489795918367,0.461904761904762,0
"54","response~(duration+job)^2",0.563333333333333,0.730967639226206,0.635733722060253,0.502040816326531,0.7,0
"55","response~(duration+num_dependents)^2",0.553333333333333,0.734760890060563,0.629460641399417,0.477551020408163,0.728571428571429,0
"56","response~(duration+telephone)^2",0.653333333333333,0.712048586118489,0.644008746355685,0.657142857142857,0.59047619047619,0
"57","response~(duration+foreign)^2",0.553333333333333,0.720842301404661,0.633838678328474,0.487755102040816,0.70952380952381,0
"58","response~(history+new_car)^2",0.73,0.579126392386791,0.633794946550049,0.830612244897959,0.338095238095238,0
"59","response~(history+used_car)^2",0.56,0.739779382057079,0.629791059280855,0.393877551020408,0.814285714285714,NA
"60","response~(history+furniture)^2",0.506666666666667,0.762022751063925,0.624985422740525,0.33469387755102,0.842857142857143,0
"61","response~(history+radio.tv)^2",0.596666666666667,0.723301810300177,0.640272108843537,0.536734693877551,0.666666666666667,0
"62","response~(history+education)^2",0.503333333333333,0.760221873314044,0.626836734693878,0.316326530612245,0.857142857142857,0
"63","response~(history+retraining)^2",0.506666666666667,0.784444288558438,0.619261418853256,0.33469387755102,0.842857142857143,0
"64","response~(history+amount)^2",0.713333333333333,0.647087311679181,0.643163265306122,0.83469387755102,0.380952380952381,0
"65","response~(history+sav_acct)^2",0.613333333333333,0.698858460856574,0.674251700680272,0.577551020408163,0.728571428571429,0
"66","response~(history+employment)^2",0.62,0.678666427078246,0.650758017492711,0.614285714285714,0.619047619047619,0
"67","response~(history+install_rate)^2",0.52,0.755140919219425,0.637448979591837,0.375510204081633,0.833333333333333,0
"68","response~(history+male_div)^2",0.503333333333333,0.756264099332371,0.619368318756074,0.322448979591837,0.852380952380952,0
"69","response~(history+male_single)^2",0.506666666666667,0.780224586108534,0.624436345966958,0.33469387755102,0.842857142857143,0
"70","response~(history+male_mar_or_wid)^2",0.566666666666667,0.651240452665795,0.625991253644315,0.491836734693878,0.685714285714286,0
"71","response~(history+co.applicant)^2",0.506666666666667,0.764583760294914,0.633299319727891,0.316326530612245,0.861904761904762,0
"72","response~(history+guarantor)^2",0.53,0.750763548842153,0.633415937803693,0.373469387755102,0.833333333333333,0
"73","response~(history+present_resident)^2",0.516666666666667,0.751114259124614,0.61812925170068,0.381632653061225,0.8,0
"74","response~(history+real_estate)^2",0.633333333333333,0.669089297022691,0.647303206997085,0.608163265306122,0.60952380952381,0
"75","response~(history+prop_unkn_none)^2",0.696666666666667,0.610177074356423,0.65178814382896,0.877551020408163,0.323809523809524,0
"76","response~(history+age)^2",0.72,0.650138809820572,0.64086491739553,0.822448979591837,0.366666666666667,0
"77","response~(history+other_install)^2",0.5,0.788149466364631,0.651598639455782,0.297959183673469,0.9,0
"78","response~(history+rent)^2",0.506666666666667,0.757192642323305,0.621345966958212,0.33469387755102,0.842857142857143,0
"79","response~(history+own_res)^2",0.506666666666667,0.76707668716995,0.623692905733722,0.33469387755102,0.842857142857143,0
"80","response~(history+num_credits)^2",0.506666666666667,0.748733771221768,0.62502915451895,0.33469387755102,0.842857142857143,0
"81","response~(history+job)^2",0.52,0.752060334178963,0.619825072886297,0.348979591836735,0.833333333333333,0
"82","response~(history+num_dependents)^2",0.506666666666667,0.764791579138083,0.618969873663751,0.33469387755102,0.842857142857143,0
"83","response~(history+telephone)^2",0.506666666666667,0.758350697798249,0.61287657920311,0.33469387755102,0.842857142857143,0
"84","response~(history+foreign)^2",0.513333333333333,0.811734526849793,0.635004859086492,0.36530612244898,0.842857142857143,0
"85","response~(new_car+used_car)^2",0.656666666666667,0.628742514970058,0.559883381924198,0.785714285714286,0.295238095238095,0
"86","response~(new_car+furniture)^2",0.59,0.666666666666622,0.559936831875607,0.602040816326531,0.509523809523809,0
"87","response~(new_car+radio.tv)^2",0.463333333333333,0.690058479532002,0.569057337220602,0.304081632653061,0.8,0
"88","response~(new_car+education)^2",0.656666666666667,0.628742514970058,0.55608843537415,0.742857142857143,0.366666666666667,0
"89","response~(new_car+retraining)^2",0.636666666666667,0.661971830985882,0.551574344023324,0.689795918367347,0.40952380952381,0
"90","response~(new_car+amount)^2",0.593333333333333,0.715830283303437,0.61209426627794,0.612244897959184,0.604761904761905,0
"91","response~(new_car+sav_acct)^2",0.51,0.691987355321746,0.627361516034985,0.395918367346939,0.804761904761905,0
"92","response~(new_car+employment)^2",0.486666666666667,0.703801616936524,0.600675413022352,0.375510204081633,0.8,0
"93","response~(new_car+install_rate)^2",0.676666666666667,0.621002811123453,0.566214771622935,0.887755102040816,0.214285714285714,0
"94","response~(new_car+male_div)^2",0.656666666666667,0.631249999999997,0.541384839650146,0.785714285714286,0.295238095238095,0
"95","response~(new_car+male_single)^2",0.546666666666667,0.696356275303431,0.560136054421769,0.43469387755102,0.652380952380952,0
"96","response~(new_car+male_mar_or_wid)^2",0.656666666666667,0.642857142857135,0.545801749271137,0.785714285714286,0.295238095238095,0
"97","response~(new_car+co.applicant)^2",0.636666666666667,0.633540372670804,0.561258503401361,0.763265306122449,0.352380952380952,0
"98","response~(new_car+guarantor)^2",0.656666666666667,0.63291139240506,0.553090379008746,0.785714285714286,0.295238095238095,0
"99","response~(new_car+present_resident)^2",0.656666666666667,0.651906905323317,0.555126336248785,0.785714285714286,0.295238095238095,0
"100","response~(new_car+real_estate)^2",0.686666666666667,0.551724137931034,0.591112730806608,0.869387755102041,0.247619047619048,0
"101","response~(new_car+prop_unkn_none)^2",0.61,0.669172932330774,0.600631681243926,0.7,0.476190476190476,0
"102","response~(new_car+age)^2",0.656666666666667,0.708393693102929,0.569300291545189,0.687755102040816,0.428571428571429,0
"103","response~(new_car+other_install)^2",0.6,0.686131386861179,0.572672497570457,0.657142857142857,0.461904761904762,0
"104","response~(new_car+rent)^2",0.63,0.659340659340632,0.556413994169096,0.663265306122449,0.442857142857143,0
"105","response~(new_car+own_res)^2",0.616666666666667,0.669491525423675,0.5783527696793,0.593877551020408,0.542857142857143,0
"106","response~(new_car+num_credits)^2",0.656666666666667,0.64640680001115,0.560014577259475,0.795918367346939,0.29047619047619,0
"107","response~(new_car+job)^2",0.61,0.705816802843118,0.559557823129252,0.685714285714286,0.428571428571429,0
"108","response~(new_car+num_dependents)^2",0.616666666666667,0.666666666666622,0.559990281827016,0.738775510204082,0.371428571428571,0
"109","response~(new_car+telephone)^2",0.656666666666667,0.655737704918012,0.542735665694849,0.785714285714286,0.295238095238095,0
"110","response~(new_car+foreign)^2",0.663333333333333,0.593333333333333,0.569378036929057,0.818367346938776,0.29047619047619,0
"111","response~(used_car+furniture)^2",0.386666666666667,0.691235059760785,0.538362487852284,0.108163265306122,0.952380952380952,0
"112","response~(used_car+radio.tv)^2",0.55,0.645739910313892,0.585889212827988,0.412244897959184,0.752380952380952,0
"113","response~(used_car+education)^2",0.386666666666667,0.69217970049899,0.541715257531584,0.108163265306122,0.952380952380952,0
"114","response~(used_car+retraining)^2",0.386666666666667,0.689045936395605,0.53555879494655,0.108163265306122,0.952380952380952,0
"115","response~(used_car+amount)^2",0.66,0.665829257338809,0.612696793002915,0.840816326530612,0.385714285714286,0
"116","response~(used_car+sav_acct)^2",0.53,0.694910471871236,0.62097667638484,0.406122448979592,0.814285714285714,0
"117","response~(used_car+employment)^2",0.56,0.669347863830275,0.595777453838678,0.520408163265306,0.638095238095238,0
"118","response~(used_car+install_rate)^2",0.42,0.71310514501965,0.560840621963071,0.242857142857143,0.852380952380952,0
