"","formula","accuracy","cutoff","roc_auc","sensitivity","specificity"
"1","response~chk_acct+duration",0.733333333333333,0.606566888853088,0.740315840621963,0.761224489795918,0.623809523809524
"2","response~chk_acct+history",0.683333333333333,0.613089250163881,0.741491739552964,0.689795918367347,0.685714285714286
"3","response~chk_acct+new_car",0.643333333333333,0.632300020859291,0.711929057337221,0.56734693877551,0.79047619047619
"4","response~chk_acct+used_car",0.656666666666667,0.596218818204121,0.71089407191448,0.610204081632653,0.752380952380952
"5","response~chk_acct+furniture",0.643333333333333,0.610207136403543,0.701044703595724,0.56734693877551,0.79047619047619
"6","response~chk_acct+radio.tv",0.666666666666667,0.606819656247261,0.707371234207969,0.642857142857143,0.728571428571429
"7","response~chk_acct+education",0.643333333333333,0.614007363409774,0.703284742468416,0.56734693877551,0.79047619047619
"8","response~chk_acct+retraining",0.643333333333333,0.771514689727896,0.703304178814383,0.563265306122449,0.795238095238095
"9","response~chk_acct+amount",0.643333333333333,0.707026201141252,0.727065111758989,0.573469387755102,0.8
"10","response~chk_acct+sav_acct",0.683333333333333,0.679084443175069,0.72455296404276,0.653061224489796,0.761904761904762
"11","response~chk_acct+employment",0.656666666666667,0.650886873629702,0.724931972789116,0.624489795918367,0.752380952380952
"12","response~chk_acct+install_rate",0.643333333333333,0.695699844155738,0.713027210884354,0.56734693877551,0.79047619047619
"13","response~chk_acct+male_div",0.643333333333333,0.609334442318377,0.700131195335277,0.56734693877551,0.79047619047619
"14","response~chk_acct+male_single",0.643333333333333,0.635689189992045,0.708177842565598,0.56734693877551,0.79047619047619
"15","response~chk_acct+male_mar_or_wid",0.646666666666667,0.60251451837605,0.702128279883382,0.597959183673469,0.761904761904762
"16","response~chk_acct+co.applicant",0.643333333333333,0.61572860502568,0.710612244897959,0.56734693877551,0.79047619047619
"17","response~chk_acct+guarantor",0.676666666666667,0.594665386374547,0.708756073858115,0.608163265306122,0.766666666666667
"18","response~chk_acct+present_resident",0.653333333333333,0.62935100477823,0.714931972789116,0.614285714285714,0.747619047619048
"19","response~chk_acct+real_estate",0.703333333333333,0.616796310585289,0.714625850340136,0.640816326530612,0.738095238095238
"20","response~chk_acct+prop_unkn_none",0.64,0.681062371708894,0.726963070942663,0.557142857142857,0.804761904761905
"21","response~chk_acct+age",0.646666666666667,0.691050562466857,0.71407677356657,0.573469387755102,0.785714285714286
"22","response~chk_acct+other_install",0.606666666666667,0.798220316590509,0.720685131195335,0.491836734693878,0.866666666666667
"23","response~chk_acct+rent",0.643333333333333,0.615936200116882,0.704018464528669,0.56734693877551,0.79047619047619
"24","response~chk_acct+own_res",0.643333333333333,0.634243784285817,0.711705539358601,0.56734693877551,0.79047619047619
"25","response~chk_acct+num_credits",0.643333333333333,0.624787986863535,0.70402332361516,0.579591836734694,0.780952380952381
"26","response~chk_acct+job",0.65,0.641441421570295,0.705340136054422,0.573469387755102,0.79047619047619
"27","response~chk_acct+num_dependents",0.643333333333333,0.809140614678985,0.699144800777454,0.559183673469388,0.804761904761905
"28","response~chk_acct+telephone",0.643333333333333,0.609948833942807,0.700213799805637,0.56734693877551,0.79047619047619
"29","response~chk_acct+foreign",0.656666666666667,0.602141600764485,0.708678328474247,0.587755102040816,0.780952380952381
"30","response~duration+history",0.686666666666667,0.664062247537164,0.683493683187561,0.746938775510204,0.509523809523809
